/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    n_updates            | 1450        |
|    policy_gradient_loss | -0.0141     |
|    value_loss           | 1.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.53e+03    |
|    ep_rew_mean          | 1.96e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 147         |
|    time_elapsed         | 6123        |
|    total_timesteps      | 1204224     |
| train/                  |             |
|    approx_kl            | 0.018629396 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.596      |
|    explained_variance   | 0.471       |
|    learning_rate        | 3.8e-05     |
|    loss                 | 0.488       |
|    n_updates            | 1460        |
|    policy_gradient_loss | -0.0156     |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.51e+03    |
|    ep_rew_mean          | 1.94e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 148         |
|    time_elapsed         | 6165        |
|    total_timesteps      | 1212416     |
| train/                  |             |
|    approx_kl            | 0.018594537 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.578      |
|    explained_variance   | 0.36        |
|    learning_rate        | 3.8e-05     |
|    loss                 | 0.138       |
|    n_updates            | 1470        |
|    policy_gradient_loss | -0.0153     |
|    value_loss           | 1.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.53e+03    |
|    ep_rew_mean          | 1.96e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 149         |
|    time_elapsed         | 6209        |
|    total_timesteps      | 1220608     |
| train/                  |             |
|    approx_kl            | 0.019916158 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.589      |
|    explained_variance   | 0.414       |
|    learning_rate        | 3.79e-05    |
|    loss                 | 0.391       |
|    n_updates            | 1480        |
|    policy_gradient_loss | -0.0142     |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.45e+03    |
|    ep_rew_mean          | 1.91e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 150         |
|    time_elapsed         | 6251        |
|    total_timesteps      | 1228800     |
| train/                  |             |
|    approx_kl            | 0.019655934 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.581      |
|    explained_variance   | 0.44        |
|    learning_rate        | 3.78e-05    |
|    loss                 | 0.408       |
|    n_updates            | 1490        |
|    policy_gradient_loss | -0.015      |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.33e+03    |
|    ep_rew_mean          | 1.84e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 151         |
|    time_elapsed         | 6293        |
|    total_timesteps      | 1236992     |
| train/                  |             |
|    approx_kl            | 0.020420413 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.605      |
|    explained_variance   | 0.467       |
|    learning_rate        | 3.77e-05    |
|    loss                 | 0.213       |
|    n_updates            | 1500        |
|    policy_gradient_loss | -0.017      |
|    value_loss           | 1.3         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.37e+03   |
|    ep_rew_mean          | 1.86e+03   |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 152        |
|    time_elapsed         | 6335       |
|    total_timesteps      | 1245184    |
| train/                  |            |
|    approx_kl            | 0.02134199 |
|    clip_fraction        | 0.178      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.593     |
|    explained_variance   | 0.433      |
|    learning_rate        | 3.76e-05   |
|    loss                 | 0.406      |
|    n_updates            | 1510       |
|    policy_gradient_loss | -0.0151    |
|    value_loss           | 1.43       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.35e+03    |
|    ep_rew_mean          | 1.84e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 153         |
|    time_elapsed         | 6376        |
|    total_timesteps      | 1253376     |
| train/                  |             |
|    approx_kl            | 0.020065311 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.605      |
|    explained_variance   | 0.457       |
|    learning_rate        | 3.75e-05    |
|    loss                 | 0.357       |
|    n_updates            | 1520        |
|    policy_gradient_loss | -0.0158     |
|    value_loss           | 1.21        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.43e+03   |
|    ep_rew_mean          | 1.89e+03   |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 154        |
|    time_elapsed         | 6418       |
|    total_timesteps      | 1261568    |
| train/                  |            |
|    approx_kl            | 0.01842559 |
|    clip_fraction        | 0.162      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.631     |
|    explained_variance   | 0.457      |
|    learning_rate        | 3.75e-05   |
|    loss                 | 0.378      |
|    n_updates            | 1530       |
|    policy_gradient_loss | -0.0172    |
|    value_loss           | 1.34       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.46e+03   |
|    ep_rew_mean          | 1.9e+03    |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 155        |
|    time_elapsed         | 6461       |
|    total_timesteps      | 1269760    |
| train/                  |            |
|    approx_kl            | 0.01939981 |
|    clip_fraction        | 0.167      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.626     |
|    explained_variance   | 0.421      |
|    learning_rate        | 3.74e-05   |
|    loss                 | 0.381      |
|    n_updates            | 1540       |
|    policy_gradient_loss | -0.0165    |
|    value_loss           | 1.28       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.25e+03    |
|    ep_rew_mean          | 1.77e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 156         |
|    time_elapsed         | 6507        |
|    total_timesteps      | 1277952     |
| train/                  |             |
|    approx_kl            | 0.022104867 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.625      |
|    explained_variance   | 0.487       |
|    learning_rate        | 3.73e-05    |
|    loss                 | 0.5         |
|    n_updates            | 1550        |
|    policy_gradient_loss | -0.0166     |
|    value_loss           | 1.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.21e+03    |
|    ep_rew_mean          | 1.74e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 157         |
|    time_elapsed         | 6548        |
|    total_timesteps      | 1286144     |
| train/                  |             |
|    approx_kl            | 0.020759534 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.657      |
|    explained_variance   | 0.516       |
|    learning_rate        | 3.72e-05    |
|    loss                 | 0.822       |
|    n_updates            | 1560        |
|    policy_gradient_loss | -0.0163     |
|    value_loss           | 1.3         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.31e+03   |
|    ep_rew_mean          | 1.8e+03    |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 158        |
|    time_elapsed         | 6590       |
|    total_timesteps      | 1294336    |
| train/                  |            |
|    approx_kl            | 0.01995029 |
|    clip_fraction        | 0.176      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.633     |
|    explained_variance   | 0.374      |
|    learning_rate        | 3.71e-05   |
|    loss                 | 0.39       |
|    n_updates            | 1570       |
|    policy_gradient_loss | -0.0172    |
|    value_loss           | 1.09       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.41e+03    |
|    ep_rew_mean          | 1.85e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 159         |
|    time_elapsed         | 6632        |
|    total_timesteps      | 1302528     |
| train/                  |             |
|    approx_kl            | 0.019981958 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.622      |
|    explained_variance   | 0.434       |
|    learning_rate        | 3.71e-05    |
|    loss                 | 0.322       |
|    n_updates            | 1580        |
|    policy_gradient_loss | -0.0173     |
|    value_loss           | 1.17        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.51e+03    |
|    ep_rew_mean          | 1.9e+03     |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 160         |
|    time_elapsed         | 6674        |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.017391002 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.649      |
|    explained_variance   | 0.531       |
|    learning_rate        | 3.7e-05     |
|    loss                 | 0.432       |
|    n_updates            | 1590        |
|    policy_gradient_loss | -0.0171     |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.56e+03    |
|    ep_rew_mean          | 1.93e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 161         |
|    time_elapsed         | 6715        |
|    total_timesteps      | 1318912     |
| train/                  |             |
|    approx_kl            | 0.019714747 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.647      |
|    explained_variance   | 0.476       |
|    learning_rate        | 3.69e-05    |
|    loss                 | 0.243       |
|    n_updates            | 1600        |
|    policy_gradient_loss | -0.0165     |
|    value_loss           | 1.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.6e+03     |
|    ep_rew_mean          | 1.96e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 162         |
|    time_elapsed         | 6757        |
|    total_timesteps      | 1327104     |
| train/                  |             |
|    approx_kl            | 0.020133294 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.634      |
|    explained_variance   | 0.464       |
|    learning_rate        | 3.68e-05    |
|    loss                 | 0.399       |
|    n_updates            | 1610        |
|    policy_gradient_loss | -0.0152     |
|    value_loss           | 1.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.52e+03    |
|    ep_rew_mean          | 1.92e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 163         |
|    time_elapsed         | 6798        |
|    total_timesteps      | 1335296     |
| train/                  |             |
|    approx_kl            | 0.020478616 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.637      |
|    explained_variance   | 0.456       |
|    learning_rate        | 3.67e-05    |
|    loss                 | 0.192       |
|    n_updates            | 1620        |
|    policy_gradient_loss | -0.0188     |
|    value_loss           | 1.09        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.56e+03   |
|    ep_rew_mean          | 1.95e+03   |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 164        |
|    time_elapsed         | 6849       |
|    total_timesteps      | 1343488    |
| train/                  |            |
|    approx_kl            | 0.01958825 |
|    clip_fraction        | 0.172      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.631     |
|    explained_variance   | 0.424      |
|    learning_rate        | 3.66e-05   |
|    loss                 | 0.552      |
|    n_updates            | 1630       |
|    policy_gradient_loss | -0.0163    |
|    value_loss           | 1.6        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.55e+03    |
|    ep_rew_mean          | 1.94e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 165         |
|    time_elapsed         | 6907        |
|    total_timesteps      | 1351680     |
| train/                  |             |
|    approx_kl            | 0.018219478 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | 0.479       |
|    learning_rate        | 3.66e-05    |
|    loss                 | 0.3         |
|    n_updates            | 1640        |
|    policy_gradient_loss | -0.0155     |
|    value_loss           | 1.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.63e+03    |
|    ep_rew_mean          | 1.99e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 166         |
|    time_elapsed         | 6957        |
|    total_timesteps      | 1359872     |
| train/                  |             |
|    approx_kl            | 0.021147309 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | 0.428       |
|    learning_rate        | 3.65e-05    |
|    loss                 | 0.652       |
|    n_updates            | 1650        |
|    policy_gradient_loss | -0.0173     |
|    value_loss           | 1.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.8e+03     |
|    ep_rew_mean          | 2.1e+03     |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 167         |
|    time_elapsed         | 7004        |
|    total_timesteps      | 1368064     |
| train/                  |             |
|    approx_kl            | 0.021772623 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.603      |
|    explained_variance   | 0.526       |
|    learning_rate        | 3.64e-05    |
|    loss                 | 0.293       |
|    n_updates            | 1660        |
|    policy_gradient_loss | -0.0184     |
|    value_loss           | 0.927       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.72e+03    |
|    ep_rew_mean          | 2.05e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 168         |
|    time_elapsed         | 7058        |
|    total_timesteps      | 1376256     |
| train/                  |             |
|    approx_kl            | 0.018789299 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.616      |
|    explained_variance   | 0.502       |
|    learning_rate        | 3.63e-05    |
|    loss                 | 0.235       |
|    n_updates            | 1670        |
|    policy_gradient_loss | -0.0179     |
|    value_loss           | 1.13        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.65e+03    |
|    ep_rew_mean          | 2.02e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 169         |
|    time_elapsed         | 7109        |
|    total_timesteps      | 1384448     |
| train/                  |             |
|    approx_kl            | 0.019609656 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.623      |
|    explained_variance   | 0.437       |
|    learning_rate        | 3.62e-05    |
|    loss                 | 0.352       |
|    n_updates            | 1680        |
|    policy_gradient_loss | -0.0167     |
|    value_loss           | 1.26        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.62e+03   |
|    ep_rew_mean          | 2e+03      |
| time/                   |            |
|    fps                  | 194        |
|    iterations           | 170        |
|    time_elapsed         | 7165       |
|    total_timesteps      | 1392640    |
| train/                  |            |
|    approx_kl            | 0.02116935 |
|    clip_fraction        | 0.156      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.614     |
|    explained_variance   | 0.478      |
|    learning_rate        | 3.62e-05   |
|    loss                 | 0.469      |
|    n_updates            | 1690       |
|    policy_gradient_loss | -0.016     |
|    value_loss           | 1.47       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.64e+03    |
|    ep_rew_mean          | 2.01e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 171         |
|    time_elapsed         | 7216        |
|    total_timesteps      | 1400832     |
| train/                  |             |
|    approx_kl            | 0.022846699 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.634      |
|    explained_variance   | 0.355       |
|    learning_rate        | 3.61e-05    |
|    loss                 | 0.318       |
|    n_updates            | 1700        |
|    policy_gradient_loss | -0.0133     |
|    value_loss           | 1.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.64e+03    |
|    ep_rew_mean          | 2.02e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 172         |
|    time_elapsed         | 7262        |
|    total_timesteps      | 1409024     |
| train/                  |             |
|    approx_kl            | 0.017741237 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.589      |
|    explained_variance   | 0.474       |
|    learning_rate        | 3.6e-05     |
|    loss                 | 0.425       |
|    n_updates            | 1710        |
|    policy_gradient_loss | -0.0164     |
|    value_loss           | 1.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.77e+03    |
|    ep_rew_mean          | 2.09e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 173         |
|    time_elapsed         | 7303        |
|    total_timesteps      | 1417216     |
| train/                  |             |
|    approx_kl            | 0.017852496 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.601      |
|    explained_variance   | 0.401       |
|    learning_rate        | 3.59e-05    |
|    loss                 | 0.372       |
|    n_updates            | 1720        |
|    policy_gradient_loss | -0.0162     |
|    value_loss           | 1.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.79e+03    |
|    ep_rew_mean          | 2.11e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 174         |
|    time_elapsed         | 7343        |
|    total_timesteps      | 1425408     |
| train/                  |             |
|    approx_kl            | 0.018580269 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.595      |
|    explained_variance   | 0.487       |
|    learning_rate        | 3.58e-05    |
|    loss                 | 0.37        |
|    n_updates            | 1730        |
|    policy_gradient_loss | -0.0181     |
|    value_loss           | 1.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.87e+03    |
|    ep_rew_mean          | 2.15e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 175         |
|    time_elapsed         | 7384        |
|    total_timesteps      | 1433600     |
| train/                  |             |
|    approx_kl            | 0.020307709 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.597      |
|    explained_variance   | 0.438       |
|    learning_rate        | 3.57e-05    |
|    loss                 | 0.215       |
|    n_updates            | 1740        |
|    policy_gradient_loss | -0.0159     |
|    value_loss           | 1.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.87e+03    |
|    ep_rew_mean          | 2.15e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 176         |
|    time_elapsed         | 7424        |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    approx_kl            | 0.021282516 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.588      |
|    explained_variance   | 0.506       |
|    learning_rate        | 3.57e-05    |
|    loss                 | 0.287       |
|    n_updates            | 1750        |
|    policy_gradient_loss | -0.0174     |
|    value_loss           | 1.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.78e+03    |
|    ep_rew_mean          | 2.11e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 177         |
|    time_elapsed         | 7464        |
|    total_timesteps      | 1449984     |
| train/                  |             |
|    approx_kl            | 0.018867288 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.504       |
|    learning_rate        | 3.56e-05    |
|    loss                 | 0.341       |
|    n_updates            | 1760        |
|    policy_gradient_loss | -0.0161     |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.64e+03    |
|    ep_rew_mean          | 2.03e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 178         |
|    time_elapsed         | 7504        |
|    total_timesteps      | 1458176     |
| train/                  |             |
|    approx_kl            | 0.019161947 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.572      |
|    explained_variance   | 0.497       |
|    learning_rate        | 3.55e-05    |
|    loss                 | 0.394       |
|    n_updates            | 1770        |
|    policy_gradient_loss | -0.0144     |
|    value_loss           | 1.54        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.69e+03    |
|    ep_rew_mean          | 2.06e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 179         |
|    time_elapsed         | 7545        |
|    total_timesteps      | 1466368     |
| train/                  |             |
|    approx_kl            | 0.018730197 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.579      |
|    explained_variance   | 0.529       |
|    learning_rate        | 3.54e-05    |
|    loss                 | 0.446       |
|    n_updates            | 1780        |
|    policy_gradient_loss | -0.0152     |
|    value_loss           | 1.44        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.67e+03    |
|    ep_rew_mean          | 2.05e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 180         |
|    time_elapsed         | 7587        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.018665666 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.588      |
|    explained_variance   | 0.431       |
|    learning_rate        | 3.53e-05    |
|    loss                 | 0.251       |
|    n_updates            | 1790        |
|    policy_gradient_loss | -0.0167     |
|    value_loss           | 1.31        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.72e+03    |
|    ep_rew_mean          | 2.08e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 181         |
|    time_elapsed         | 7633        |
|    total_timesteps      | 1482752     |
| train/                  |             |
|    approx_kl            | 0.023897888 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.594      |
|    explained_variance   | 0.517       |
|    learning_rate        | 3.53e-05    |
|    loss                 | 0.271       |
|    n_updates            | 1800        |
|    policy_gradient_loss | -0.0158     |
|    value_loss           | 1.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.64e+03    |
|    ep_rew_mean          | 2.05e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 182         |
|    time_elapsed         | 7673        |
|    total_timesteps      | 1490944     |
| train/                  |             |
|    approx_kl            | 0.021635916 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.587      |
|    explained_variance   | 0.47        |
|    learning_rate        | 3.52e-05    |
|    loss                 | 0.287       |
|    n_updates            | 1810        |
|    policy_gradient_loss | -0.0167     |
|    value_loss           | 1.21        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.6e+03     |
|    ep_rew_mean          | 2.02e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 183         |
|    time_elapsed         | 7714        |
|    total_timesteps      | 1499136     |
| train/                  |             |
|    approx_kl            | 0.018533487 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.59       |
|    explained_variance   | 0.436       |
|    learning_rate        | 3.51e-05    |
|    loss                 | 0.186       |
|    n_updates            | 1820        |
|    policy_gradient_loss | -0.0167     |
|    value_loss           | 1.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.55e+03    |
|    ep_rew_mean          | 2e+03       |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 184         |
|    time_elapsed         | 7755        |
|    total_timesteps      | 1507328     |
| train/                  |             |
|    approx_kl            | 0.018556964 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.598      |
|    explained_variance   | 0.415       |
|    learning_rate        | 3.5e-05     |
|    loss                 | 0.392       |
|    n_updates            | 1830        |
|    policy_gradient_loss | -0.0146     |
|    value_loss           | 1.56        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.65e+03    |
|    ep_rew_mean          | 2.05e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 185         |
|    time_elapsed         | 7797        |
|    total_timesteps      | 1515520     |
| train/                  |             |
|    approx_kl            | 0.019604327 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.63       |
|    explained_variance   | 0.453       |
|    learning_rate        | 3.49e-05    |
|    loss                 | 0.237       |
|    n_updates            | 1840        |
|    policy_gradient_loss | -0.0167     |
|    value_loss           | 1.13        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.67e+03    |
|    ep_rew_mean          | 2.05e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 186         |
|    time_elapsed         | 7837        |
|    total_timesteps      | 1523712     |
| train/                  |             |
|    approx_kl            | 0.019310586 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.631      |
|    explained_variance   | 0.513       |
|    learning_rate        | 3.48e-05    |
|    loss                 | 0.2         |
|    n_updates            | 1850        |
|    policy_gradient_loss | -0.0164     |
|    value_loss           | 0.935       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.67e+03    |
|    ep_rew_mean          | 2.05e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 187         |
|    time_elapsed         | 7878        |
|    total_timesteps      | 1531904     |
| train/                  |             |
|    approx_kl            | 0.020507762 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.61       |
|    explained_variance   | 0.434       |
|    learning_rate        | 3.48e-05    |
|    loss                 | 0.48        |
|    n_updates            | 1860        |
|    policy_gradient_loss | -0.0138     |
|    value_loss           | 1.46        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.79e+03   |
|    ep_rew_mean          | 2.13e+03   |
| time/                   |            |
|    fps                  | 194        |
|    iterations           | 188        |
|    time_elapsed         | 7918       |
|    total_timesteps      | 1540096    |
| train/                  |            |
|    approx_kl            | 0.01671586 |
|    clip_fraction        | 0.153      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.615     |
|    explained_variance   | 0.421      |
|    learning_rate        | 3.47e-05   |
|    loss                 | 0.221      |
|    n_updates            | 1870       |
|    policy_gradient_loss | -0.0158    |
|    value_loss           | 1.26       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.8e+03     |
|    ep_rew_mean          | 2.13e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 189         |
|    time_elapsed         | 7959        |
|    total_timesteps      | 1548288     |
| train/                  |             |
|    approx_kl            | 0.020922696 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.606      |
|    explained_variance   | 0.354       |
|    learning_rate        | 3.46e-05    |
|    loss                 | 0.391       |
|    n_updates            | 1880        |
|    policy_gradient_loss | -0.0144     |
|    value_loss           | 1.69        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.87e+03    |
|    ep_rew_mean          | 2.16e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 190         |
|    time_elapsed         | 8000        |
|    total_timesteps      | 1556480     |
| train/                  |             |
